Title,Authors,Year,Journal,Abstract,Link
Reality testing and the mnemonic induction of lucid dreams: Findings from the national Australian lucid dream induction study.,"['DJ Aspy', 'P Delfabbro', 'M Proeve', 'P Mohr']",2017,Dreaming,"of effective and reliable lucid dream induction techniques. The present  lucid dream induction  techniques—reality testing, wake back to bed (WBTB), and the mnemonic induction of lucid",https://doi.apa.org/doiLanding?doi=10.1037/drm0000059
Inducing lucid dreams: The wake-up-back-to-bed technique in the home setting.,"['M Schredl', 'S Dyck', 'A Kühnel']",2020,Dreaming,The present study investigates the percentage of lucid dreaming using the WBTB technique  at home with the support of modern social media to increase the motivation to adhere to the,https://psycnet.apa.org/journals/drm/30/4/287/
Inducing lucid dreams by olfactory-cued reactivation of reality testing during early-morning sleep: A proof of concept,"['D Erlacher', 'D Schmid', 'S Schuler', 'B Rasch']",2020,Consciousness and cognition,"of WBTB and odor lucid dream was induced in this study, this empirical evaluation has not  been carried out in this study but is recommend for future lab research in lucid dream induction",https://www.sciencedirect.com/science/article/pii/S1053810020300222
"Wake up, work on dreams, back to bed and lucid dream: A sleep laboratory study","['D Erlacher', 'T Stumbrys']",2020,Frontiers in psychology,"The findings of the present study show that by using a combination of WBTB and MILD,  lucid dreams can be effectively induced in people who are not selected for their lucid dream",https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01383/full
Findings from the international lucid dream induction study,['DJ Aspy'],2020,Frontiers in Psychology,in lucid dreaming was observed in the RT + WBTB + MILD  increase in lucid dreaming rates  observed in the RT + WBTB +  be better to simply practice WBTB and MILD. Higher general,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01746/full?fbclid=IwAR1YStJ1ZLI6yEFEIP0QYK-nv6r6RkCCUIWvQEgG4XvThFYxJHMJaOHtl0s
… effects of galantamine paired with meditation and dream reliving on recalled dreams: Toward an integrated protocol for lucid dream induction and nightmare resolution,"['G Sparrow', 'R Hurd', 'R Carlson', 'A Molina']",2018,Consciousness and cognition,"In summary, all of the conditions except WBTB and WBTB + P exceeded the levels of  interactive iehavior over the initial baseline measure. This included the final baseline measure,",https://www.sciencedirect.com/science/article/pii/S1053810017306244
Lucid dream induction by auditory stimulation and reality testing during early-morning sleep,"['D Schmid', 'D Erlacher']",2020,… Journal of dream research,"In the present study a combination of the wake-up-backto-bed sleep protocol (WBTB),   lucid dream induction rate (14.3%) compared to previously reported induction rates using WBTB",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/71695
Combining Wake-Up-Back-to-Bed with Cognitive Induction Techniques: Does Earlier Sleep Interruption Reduce Lucid Dream Induction Rate?,"['D Erlacher', 'V Furrer', 'M Ineichen', 'J Braillard', 'D Schmid']",2022,Clocks & Sleep,"In experiment 3, a combination of WBTB and reality testing was used to induce lucid  dreaming. First, the participants were given an information sheet about lucid dreaming via reality",https://www.mdpi.com/article/10.3390/clockssleep4020021
The science of lucid dream induction,"['T Stumbrys', 'D Erlacher']",2014,Lucid dreaming: New perspectives on …,"their colleagues suggest that MILD is effective in inducing lucid dreams, especially when  the WBTB method is used. The optimal time for WBTB is approximately 30 to 120 minutes. The",https://books.google.com/books?hl=en&lr=&id=uRGJBAAAQBAJ&oi=fnd&pg=PA77&dq=wbtb+induction+lucid+dreaming&ots=P8oQNBqq7w&sig=YkOSguHlizFGx18CF6G9zYcOQhk
Lucid dream induction using three different cognitive methods,"['S Dyck', 'M Schredl', 'A Kühnel']",2017,International Journal of Dream …,this specific version of the WBTB method can also be successfully applied in a home setting  as it has been demonstrated for relatively similar WBTB paradigm in a small sample of very,https://scholar.archive.org/work/h66kgfts5na4lnloj2msv653pi/access/wayback/https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/download/37498/pdf
Lucid dream induction using three different cognitive methods,"['S Dyck', 'M Schredl', 'A Kühnel']",2017,International Journal of Dream …,this specific version of the WBTB method can also be successfully applied in a home setting  as it has been demonstrated for relatively similar WBTB paradigm in a small sample of very,https://scholar.archive.org/work/h66kgfts5na4lnloj2msv653pi/access/wayback/https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/download/37498/pdf
General knowledge about lucid dreaming and lucid dream induction techniques: an online study,"['A Neuhäusler', 'M Schredl', 'AS Göritz']",2018,Int. J. Dream Res,The Wake-Up Back to Bed (WBTB) technique increases the REM sleep duration in early   indicated knowing about lucid dream induction techniques than about lucid dreaming itself. This,https://www.goeritz.net/IJDR2.pdf
Lucid dreaming frequency and alarm clock snooze button use.,"['BV Smith', 'M Blagrove']",2015,Dreaming,They concluded that the WBTB method has been “demonstrated to be successful  WBTB  has been tested empirically only in combination with the Mnemonic Induction of Lucid Dreaming,https://psycnet.apa.org/journals/drm/25/4/291/
Combining presleep cognitive training and REM-sleep stimulation in a laboratory morning nap for lucid dream induction.,"['M Carr', 'K Konkoly', 'R Mallett', 'C Edwards']",2020,Psychology of …,"Schädlich, Erlacher, and Schredl (2017) induced LDs in nine of  lucid dreamers who recall  at least one LD per month; their induction procedure involved a combination of WBTB, dream",https://psycnet.apa.org/record/2020-24631-001
WIDE AWAKE WHILE DREAMING,['L Schippers'],2021,Wide awake while dreaming: lucid dreaming and its …,"More promising techniques to increase lucid dreaming are sleep fragmentation and WBTB,  often in combination with mnemonic induction of lucid dreaming. With the WBTB technique,",https://www.ramsresearch.nl/wp-content/uploads/19th-Edition-Rams.pdf#page=30
"What are lucid dreams, and how can you have them?","['F Gussone', 'RR Britt']",NA,NA,,None
Dream lucidity is associated with positive waking mood,"['A Stocks', 'M Carr', 'R Mallett', 'K Konkoly', 'A Hicks']",2020,Consciousness and …,"20 participants were asked to complete lucid dream induction techniques along with an   alertness (WBTB) and instructed to cognitively rehearse a phrase, such as ‘I will remember I am",https://www.sciencedirect.com/science/article/pii/S1053810020300301
"Exploring the role of need for cognition, field independence and locus of control on the incidence of lucid dreams during a 12-week induction study.","['DT Saunders', 'H Clegg', 'CA Roe', 'GD Smith']",2017,Dreaming,"posttests for those successful at inducing a lucid dream; with no  induction of lucid dreaming,  but an experiential result of having  The combination of the WBTB, mnemonic induction, and",https://psycnet.apa.org/doiLanding?doi=10.1037/drm0000044
"“Is this a Dream?”–Evolutionary, Neurobiological and Psychopathological Perspectives on Lucid Dreaming","['SA Mota-Rolim', 'KM de Almondes', 'R Kirov']",2021,Frontiers in Psychology,"-bed (WBTB)  WBTB and MILD, detectable LD can be effectively induced in people who are  not selected for their LD abilities. Regarding the neurophysiological approaches for inducing",https://www.frontiersin.org/articles/10.3389/fpsyg.2021.635183/full
The cognitive neuroscience of lucid dreaming,"['B Baird', 'SA Mota-Rolim', 'M Dresler']",2019,Neuroscience & Biobehavioral …,"for lucid dream induction also have the  a lucid dream in the WBTB + placebo condition and  11% in the MDR + placebo, whereas 40% of participants reported a lucid dream in the WBTB",https://www.sciencedirect.com/science/article/pii/S0149763418303361
Induction of lucid dreams: A systematic review of evidence,"['T Stumbrys', 'D Erlacher', 'M Schädlich']",2012,Consciousness and …,"Compared instead naps with the nights N = 18 (lucid dreamers) MILD, WBTB 11  participants had LDs, 9 of them had more LDs during the naps than the nights 4 (poor)",https://www.sciencedirect.com/science/article/pii/S1053810012001614
Lucid Dreaming: 15 Tips & Tricks To Get Started,"['HRT Kits', 'BL Flower', 'BT Venom', 'H Breathwork']",NA,NA,"“dream-induced lucid dreaming” — it refers to lucid dreams  WBTB methods of lucid dreaming  involve forcing oneself to  the night to perform a WBTB lucid dream technique, only to find",https://tripsitter.com/lucid-dreaming/
"Ring, ring, ring… Are you dreaming? Combining acoustic stimulation and reality testing for lucid dream induction: A sleep laboratory study","['D Erlacher', 'D Schmid', 'F Bischof']",2020,… Journal of dream …,"rate is also low when compared to another study from our working group (Erlacher & Stumbrys,  2020) in which, also applying the WBTB paradigm but with a cognitive technique based",https://journals.ub.uni-heidelberg.de/index.php/IJoDR/article/view/74880
